NetworkType,TcpVariant,VariedParam,NumNodes,NumFlows,PktPerSec,NodeSpeed,CoverageMultiplier,ThroughputMbps,AvgDelayMs,PDR,DRR,EnergyJ
wired,custom,numNodes,20,30,300,15.0,3,0.532694,1595.757647,0.680048,0.0,0.0
wired,custom,numNodes,40,30,300,15.0,3,0.445904,1274.381582,0.764486,0.0,0.0
wired,custom,coverageMultiplier,60,30,300,15.0,3,0.436336,1056.537467,0.768484,0.0,0.0
wired,custom,numNodes,80,30,300,15.0,3,0.429706,939.41694,0.78521,0.0,0.0
wired,custom,numNodes,100,30,300,15.0,3,0.433411,1032.021738,0.767142,0.0,0.0
wired,custom,numFlows,60,10,300,15.0,3,0.553661,1592.192141,0.591823,0.040204,0.0
wired,custom,numFlows,60,20,300,15.0,3,0.468922,1253.207078,0.736706,0.0,0.0
wired,custom,numFlows,60,40,300,15.0,3,0.431456,1247.94223,0.725384,0.0,0.0
wired,custom,numFlows,60,50,300,15.0,3,0.403478,1237.355228,0.707985,0.0,0.0
wired,custom,pktPerSec,60,30,100,15.0,3,0.43095,996.00835,0.777985,0.0,0.0
wired,custom,pktPerSec,60,30,200,15.0,3,0.437277,1027.844719,0.757617,0.0,0.0
wired,custom,pktPerSec,60,30,400,15.0,3,0.437472,1073.398539,0.767849,0.0,0.0
wired,custom,pktPerSec,60,30,500,15.0,3,0.432944,1105.636722,0.765733,0.0,0.0
wired,custom,coverageMultiplier,60,30,300,15.0,1,0.436336,1056.537467,0.768484,0.0,0.0
wired,custom,coverageMultiplier,60,30,300,15.0,2,0.436336,1056.537467,0.768484,0.0,0.0
wired,custom,coverageMultiplier,60,30,300,15.0,4,0.436336,1056.537467,0.768484,0.0,0.0
wired,custom,coverageMultiplier,60,30,300,15.0,5,0.436336,1056.537467,0.768484,0.0,0.0
wired,rtt-aware,numNodes,20,30,300,15.0,3,0.53441,1602.305641,0.682239,0.000403,0.0
wired,rtt-aware,numNodes,40,30,300,15.0,3,0.453104,1274.729376,0.763772,0.0,0.0
wired,rtt-aware,coverageMultiplier,60,30,300,15.0,3,0.431683,1053.026955,0.779288,0.0,0.0
wired,rtt-aware,numNodes,80,30,300,15.0,3,0.42833,853.332403,0.799137,0.0,0.0
wired,rtt-aware,numNodes,100,30,300,15.0,3,0.436886,1041.484492,0.766437,0.0,0.0
wired,rtt-aware,numFlows,60,10,300,15.0,3,0.553661,1592.192141,0.591823,0.040204,0.0
wired,rtt-aware,numFlows,60,20,300,15.0,3,0.467472,1217.41988,0.743892,0.0,0.0
wired,rtt-aware,numFlows,60,40,300,15.0,3,0.431904,1233.204721,0.724076,0.0,0.0
wired,rtt-aware,numFlows,60,50,300,15.0,3,0.406051,1239.978407,0.719962,0.0,0.0
wired,rtt-aware,pktPerSec,60,30,100,15.0,3,0.432486,1009.200403,0.792399,0.0,0.0
